service_id,date,exception_type
DEC24-D01CAR-3_Sunday,20241225,1
DEC24-D01CAR-3_Sunday,20250101,1
DEC24-D01CAR-3_Sunday,20250526,1
DEC24-D01CAR-1_Weekday,20241225,2
DEC24-D01CAR-1_Weekday,20250101,2
DEC24-D01CAR-1_Weekday,20250526,2
DEC24-D02CAR-3_Sunday,20241225,1
DEC24-D02CAR-3_Sunday,20250101,1
DEC24-D02CAR-3_Sunday,20250526,1
DEC24-D02CAR-1_Weekday,20241225,2
DEC24-D02CAR-1_Weekday-KINGMS1,20241225,2
DEC24-D02CAR-1_Weekday-KINGMB0,20241225,2
DEC24-D02CAR-1_Weekday-KINGMA0,20241225,2
DEC24-D02CAR-1_Weekday-SANTHA0,20241225,2
DEC24-D02CAR-1_Weekday-SANTHB0,20241225,2
DEC24-D02CAR-1_Weekday-SANTHS1,20241225,2
DEC24-D02CAR-1_Weekday,20250101,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250101,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250101,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250101,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250101,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250101,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250101,2
DEC24-D02CAR-1_Weekday,20250526,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250526,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250526,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250526,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250526,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250526,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250526,2
DEC24-D02CAR-1_Weekday-SANTHS1,20241216,2
DEC24-D02CAR-1_Weekday-SANTHB0,20241216,2
DEC24-D02CAR-1_Weekday-SANTHA0,20241216,2
DEC24-D02CAR-1_Weekday-KINGMS1,20241216,2
DEC24-D02CAR-1_Weekday-KINGMB0,20241216,2
DEC24-D02CAR-1_Weekday-KINGMA0,20241216,2
DEC24-D02CAR-1_Weekday-SANTHS1,20241217,2
DEC24-D02CAR-1_Weekday-SANTHB0,20241217,2
DEC24-D02CAR-1_Weekday-SANTHA0,20241217,2
DEC24-D02CAR-1_Weekday-KINGMS1,20241217,2
DEC24-D02CAR-1_Weekday-KINGMB0,20241217,2
DEC24-D02CAR-1_Weekday-KINGMA0,20241217,2
DEC24-D02CAR-1_Weekday-SANTHS1,20241218,2
DEC24-D02CAR-1_Weekday-SANTHB0,20241218,2
DEC24-D02CAR-1_Weekday-SANTHA0,20241218,2
DEC24-D02CAR-1_Weekday-KINGMS1,20241218,2
DEC24-D02CAR-1_Weekday-KINGMB0,20241218,2
DEC24-D02CAR-1_Weekday-KINGMA0,20241218,2
DEC24-D02CAR-1_Weekday-SANTHS1,20241219,2
DEC24-D02CAR-1_Weekday-SANTHB0,20241219,2
DEC24-D02CAR-1_Weekday-SANTHA0,20241219,2
DEC24-D02CAR-1_Weekday-KINGMS1,20241219,2
DEC24-D02CAR-1_Weekday-KINGMB0,20241219,2
DEC24-D02CAR-1_Weekday-KINGMA0,20241219,2
DEC24-D02CAR-1_Weekday-SANTHS1,20241220,2
DEC24-D02CAR-1_Weekday-SANTHB0,20241220,2
DEC24-D02CAR-1_Weekday-SANTHA0,20241220,2
DEC24-D02CAR-1_Weekday-KINGMS1,20241220,2
DEC24-D02CAR-1_Weekday-KINGMB0,20241220,2
DEC24-D02CAR-1_Weekday-KINGMA0,20241220,2
DEC24-D02CAR-1_Weekday-SANTHS1,20241223,2
DEC24-D02CAR-1_Weekday-SANTHB0,20241223,2
DEC24-D02CAR-1_Weekday-SANTHA0,20241223,2
DEC24-D02CAR-1_Weekday-KINGMS1,20241223,2
DEC24-D02CAR-1_Weekday-KINGMB0,20241223,2
DEC24-D02CAR-1_Weekday-KINGMA0,20241223,2
DEC24-D02CAR-1_Weekday-SANTHS1,20241224,2
DEC24-D02CAR-1_Weekday-SANTHB0,20241224,2
DEC24-D02CAR-1_Weekday-SANTHA0,20241224,2
DEC24-D02CAR-1_Weekday-KINGMS1,20241224,2
DEC24-D02CAR-1_Weekday-KINGMB0,20241224,2
DEC24-D02CAR-1_Weekday-KINGMA0,20241224,2
DEC24-D02CAR-1_Weekday-SANTHS1,20241226,2
DEC24-D02CAR-1_Weekday-SANTHB0,20241226,2
DEC24-D02CAR-1_Weekday-SANTHA0,20241226,2
DEC24-D02CAR-1_Weekday-KINGMS1,20241226,2
DEC24-D02CAR-1_Weekday-KINGMB0,20241226,2
DEC24-D02CAR-1_Weekday-KINGMA0,20241226,2
DEC24-D02CAR-1_Weekday-SANTHS1,20241227,2
DEC24-D02CAR-1_Weekday-SANTHB0,20241227,2
DEC24-D02CAR-1_Weekday-SANTHA0,20241227,2
DEC24-D02CAR-1_Weekday-KINGMS1,20241227,2
DEC24-D02CAR-1_Weekday-KINGMB0,20241227,2
DEC24-D02CAR-1_Weekday-KINGMA0,20241227,2
