route_id,fare_id,route_id_base
2-13186,1,2
2-13186,2,2
4-13186,1,4
4-13186,2,4
10-13186,1,10
10-13186,2,10
14-13186,1,14
14-13186,2,14
16-13186,1,16
16-13186,2,16
18-13186,1,18
18-13186,2,18
20-13186,1,20
20-13186,2,20
28-13186,1,28
28-13186,2,28
30-13186,1,30
30-13186,2,30
33-13186,1,33
33-13186,2,33
35-13186,1,35
35-13186,2,35
40-13186,1,40
40-13186,2,40
45-13186,1,45
45-13186,2,45
51-13186,1,51
51-13186,2,51
53-13186,1,53
53-13186,2,53
55-13186,1,55
55-13186,2,55
60-13186,1,60
60-13186,2,60
62-13186,1,62
62-13186,2,62
66-13186,1,66
66-13186,2,66
70-13186,1,70
70-13186,2,70
76-13186,1,76
76-13186,2,76
78-13186,1,78
78-13186,2,78
81-13186,1,81
81-13186,2,81
90-13186,1,90
90-13186,2,90
92-13186,1,92
92-13186,2,92
94-13186,1,94
94-13186,2,94
102-13186,1,102
102-13186,2,102
105-13186,1,105
105-13186,2,105
106-13186,1,106
106-13186,2,106
108-13186,1,108
108-13186,2,108
110-13186,1,110
110-13186,2,110
111-13186,1,111
111-13186,2,111
115-13186,1,115
115-13186,2,115
117-13186,1,117
117-13186,2,117
120-13186,1,120
120-13186,2,120
125-13186,1,125
125-13186,2,125
127-13186,1,127
127-13186,2,127
128-13186,1,128
128-13186,2,128
134-13186,1,134
134-13186,2,134
150-13186,1,150
150-13186,2,150
152-13186,1,152
152-13186,2,152
154-13186,1,154
154-13186,2,154
155-13186,1,155
155-13186,2,155
158-13186,1,158
158-13186,2,158
161-13186,1,161
161-13186,2,161
162-13186,1,162
162-13186,2,162
164-13186,1,164
164-13186,2,164
165-13186,1,165
165-13186,2,165
166-13186,1,166
166-13186,2,166
167-13186,1,167
167-13186,2,167
169-13186,1,169
169-13186,2,169
179-13186,1,179
179-13186,2,179
180-13186,1,180
180-13186,2,180
182-13186,1,182
182-13186,2,182
202-13186,1,202
202-13186,2,202
204-13186,1,204
204-13186,2,204
205-13186,1,205
205-13186,2,205
206-13186,1,206
206-13186,2,206
207-13186,1,207
207-13186,2,207
209-13186,1,209
209-13186,2,209
210-13186,1,210
210-13186,2,210
211-13186,1,211
211-13186,2,211
212-13186,1,212
212-13186,2,212
217-13186,1,217
217-13186,2,217
218-13186,1,218
218-13186,2,218
222-13186,1,222
222-13186,2,222
224-13186,1,224
224-13186,2,224
230-13186,1,230
230-13186,2,230
232-13186,1,232
232-13186,2,232
233-13186,1,233
233-13186,2,233
234-13186,1,234
234-13186,2,234
236-13186,1,236
236-13186,2,236
237-13186,1,237
237-13186,2,237
240-13186,1,240
240-13186,2,240
242-13186,1,242
242-13186,2,242
244-13186,1,244
244-13186,2,244
246-13186,1,246
246-13186,2,246
251-13186,1,251
251-13186,2,251
258-13186,1,258
258-13186,2,258
260-13186,1,260
260-13186,2,260
265-13186,1,265
265-13186,2,265
266-13186,1,266
266-13186,2,266
267-13186,1,267
267-13186,2,267
268-13186,1,268
268-13186,2,268
287-13186,1,287
287-13186,2,287
294-13186,1,294
294-13186,2,294
296-13186,1,296
296-13186,2,296
344-13186,1,344
344-13186,2,344
460-13186,1,460
460-13186,2,460
487-13186,1,487
487-13186,2,487
501-13186,1,501
501-13186,2,501
550-13186,1,550
550-13186,2,550
577-13186,1,577
577-13186,2,577
601-13186,1,601
601-13186,2,601
602-13186,1,602
602-13186,2,602
603-13186,1,603
603-13186,2,603
605-13186,1,605
605-13186,2,605
611-13186,1,611
611-13186,2,611
617-13186,1,617
617-13186,2,617
660-13186,1,660
660-13186,2,660
662-13186,1,662
662-13186,2,662
665-13186,1,665
665-13186,2,665
690-13186,1,690
690-13186,2,690
720-13186,1,720
720-13186,2,720
754-13186,1,754
754-13186,2,754
761-13186,1,761
761-13186,2,761
857-13186,4,857
901-13186,3,901
910-13186,1,910
910-13186,2,910
698-13186,4,698
699-13186,4,699
