route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_id_event
611-13186,DEC24-D02CAR-1_Weekday,10611000280539-DEC24,,1,6110301,6110028_DEC24,60841169-DEC24-D02CAR-1_Weekday
611-13186,DEC24-D02CAR-1_Weekday,10611000270606-DEC24,,1,6110101,6110027_DEC24,60841170-DEC24-D02CAR-1_Weekday
611-13186,DEC24-D02CAR-1_Weekday,10611000270710-DEC24,,1,6110200,6110027_DEC24,60841171-DEC24-D02CAR-1_Weekday
611-13186,DEC24-D02CAR-1_Weekday,10611000270808-DEC24,,1,6110301,6110027_DEC24,60841172-DEC24-D02CAR-1_Weekday
611-13186,DEC24-D02CAR-1_Weekday,10611000270908-DEC24,,1,6110101,6110027_DEC24,60841173-DEC24-D02CAR-1_Weekday
611-13186,DEC24-D02CAR-1_Weekday,10611000271005-DEC24,,1,6110200,6110027_DEC24,60841174-DEC24-D02CAR-1_Weekday
611-13186,DEC24-D02CAR-1_Weekday,10611000271105-DEC24,,1,6110301,6110027_DEC24,60841175-DEC24-D02CAR-1_Weekday
611-13186,DEC24-D02CAR-1_Weekday,10611000271206-DEC24,,1,6110101,6110027_DEC24,60841176-DEC24-D02CAR-1_Weekday
611-13186,DEC24-D02CAR-1_Weekday,10611000271304-DEC24,,1,6110200,6110027_DEC24,60841177-DEC24-D02CAR-1_Weekday
611-13186,DEC24-D02CAR-1_Weekday,10611000271403-DEC24,,1,6110502,6110027_DEC24,60841178-DEC24-D02CAR-1_Weekday
611-13186,DEC24-D02CAR-1_Weekday,10611000271504-DEC24,,1,6110402,6110027_DEC24,60841179-DEC24-D02CAR-1_Weekday
611-13186,DEC24-D02CAR-1_Weekday,10611000271607-DEC24,,1,6110602,6110027_DEC24,60841180-DEC24-D02CAR-1_Weekday
611-13186,DEC24-D02CAR-1_Weekday,10611000271710-DEC24,,1,6110502,6110027_DEC24,60841181-DEC24-D02CAR-1_Weekday
611-13186,DEC24-D02CAR-1_Weekday,10611000271815-DEC24,,1,6110402,6110027_DEC24,60841182-DEC24-D02CAR-1_Weekday
611-13186,DEC24-D02CAR-1_Weekday,10611000271915-DEC24,,1,6110602,6110027_DEC24,60841183-DEC24-D02CAR-1_Weekday
611-13186,DEC24-D02CAR-1_Weekday,10611000272010-DEC24,,1,6110502,6110027_DEC24,60841184-DEC24-D02CAR-1_Weekday
611-13186,DEC24-D02CAR-1_Weekday,10611000272105-DEC24,,1,6110402,6110027_DEC24,60841185-DEC24-D02CAR-1_Weekday
611-13186,DEC24-D02CAR-1_Weekday,10611000202201-DEC24,,1,6110602,6110020_DEC24,60841186-DEC24-D02CAR-1_Weekday
611-13186,DEC24-D02CAR-1_Weekday,10611000240515-DEC24,,0,6110101,6110024_DEC24,60841187-DEC24-D02CAR-1_Weekday
611-13186,DEC24-D02CAR-1_Weekday,10611000220540-DEC24,,0,6110200,6110022_DEC24,60841188-DEC24-D02CAR-1_Weekday
611-13186,DEC24-D02CAR-1_Weekday,10611000220635-DEC24,,0,6110301,6110022_DEC24,60841189-DEC24-D02CAR-1_Weekday
611-13186,DEC24-D02CAR-1_Weekday,10611000220734-DEC24,,0,6110101,6110022_DEC24,60841190-DEC24-D02CAR-1_Weekday
611-13186,DEC24-D02CAR-1_Weekday,10611000220836-DEC24,,0,6110200,6110022_DEC24,60841191-DEC24-D02CAR-1_Weekday
611-13186,DEC24-D02CAR-1_Weekday,10611000220935-DEC24,,0,6110301,6110022_DEC24,60841192-DEC24-D02CAR-1_Weekday
611-13186,DEC24-D02CAR-1_Weekday,10611000221034-DEC24,,0,6110101,6110022_DEC24,60841193-DEC24-D02CAR-1_Weekday
611-13186,DEC24-D02CAR-1_Weekday,10611000221133-DEC24,,0,6110200,6110022_DEC24,60841194-DEC24-D02CAR-1_Weekday
611-13186,DEC24-D02CAR-1_Weekday,10611000221232-DEC24,,0,6110301,6110022_DEC24,60841195-DEC24-D02CAR-1_Weekday
611-13186,DEC24-D02CAR-1_Weekday,10611000221330-DEC24,,0,6110402,6110022_DEC24,60841196-DEC24-D02CAR-1_Weekday
611-13186,DEC24-D02CAR-1_Weekday,10611000221534-DEC24,,0,6110502,6110022_DEC24,60841197-DEC24-D02CAR-1_Weekday
611-13186,DEC24-D02CAR-1_Weekday,10611000221639-DEC24,,0,6110402,6110022_DEC24,60841198-DEC24-D02CAR-1_Weekday
611-13186,DEC24-D02CAR-1_Weekday,10611000221429-DEC24,,0,6110602,6110022_DEC24,60841199-DEC24-D02CAR-1_Weekday
611-13186,DEC24-D02CAR-1_Weekday,10611000222038-DEC24,,0,6110602,6110022_DEC24,60841200-DEC24-D02CAR-1_Weekday
611-13186,DEC24-D02CAR-1_Weekday,10611000221742-DEC24,,0,6110602,6110022_DEC24,60841201-DEC24-D02CAR-1_Weekday
611-13186,DEC24-D02CAR-1_Weekday,10611000221842-DEC24,,0,6110502,6110022_DEC24,60841202-DEC24-D02CAR-1_Weekday
611-13186,DEC24-D02CAR-1_Weekday,10611000221940-DEC24,,0,6110402,6110022_DEC24,60841203-DEC24-D02CAR-1_Weekday
611-13186,DEC24-D02CAR-1_Weekday,10611000232130-DEC24,,0,6110502,6110023_DEC24,60841204-DEC24-D02CAR-1_Weekday
611-13186,DEC24-D02CAR-2_Saturday,60611000270605-DEC24,,1,6110201,6110027_DEC24,60841218-DEC24-D02CAR-2_Saturday
611-13186,DEC24-D02CAR-2_Saturday,60611000270705-DEC24,,1,6110101,6110027_DEC24,60841219-DEC24-D02CAR-2_Saturday
611-13186,DEC24-D02CAR-2_Saturday,60611000270801-DEC24,,1,6110301,6110027_DEC24,60841220-DEC24-D02CAR-2_Saturday
611-13186,DEC24-D02CAR-2_Saturday,60611000270902-DEC24,,1,6110201,6110027_DEC24,60841221-DEC24-D02CAR-2_Saturday
611-13186,DEC24-D02CAR-2_Saturday,60611000271001-DEC24,,1,6110101,6110027_DEC24,60841222-DEC24-D02CAR-2_Saturday
611-13186,DEC24-D02CAR-2_Saturday,60611000271100-DEC24,,1,6110301,6110027_DEC24,60841223-DEC24-D02CAR-2_Saturday
611-13186,DEC24-D02CAR-2_Saturday,60611000271159-DEC24,,1,6110201,6110027_DEC24,60841224-DEC24-D02CAR-2_Saturday
611-13186,DEC24-D02CAR-2_Saturday,60611000271300-DEC24,,1,6110402,6110027_DEC24,60841225-DEC24-D02CAR-2_Saturday
611-13186,DEC24-D02CAR-2_Saturday,60611000271400-DEC24,,1,6110602,6110027_DEC24,60841226-DEC24-D02CAR-2_Saturday
611-13186,DEC24-D02CAR-2_Saturday,60611000271500-DEC24,,1,6110502,6110027_DEC24,60841227-DEC24-D02CAR-2_Saturday
611-13186,DEC24-D02CAR-2_Saturday,60611000271600-DEC24,,1,6110402,6110027_DEC24,60841228-DEC24-D02CAR-2_Saturday
611-13186,DEC24-D02CAR-2_Saturday,60611000271700-DEC24,,1,6110602,6110027_DEC24,60841229-DEC24-D02CAR-2_Saturday
611-13186,DEC24-D02CAR-2_Saturday,60611000271800-DEC24,,1,6110502,6110027_DEC24,60841230-DEC24-D02CAR-2_Saturday
611-13186,DEC24-D02CAR-2_Saturday,60611000271900-DEC24,,1,6110402,6110027_DEC24,60841231-DEC24-D02CAR-2_Saturday
611-13186,DEC24-D02CAR-2_Saturday,60611000272000-DEC24,,1,6110602,6110027_DEC24,60841232-DEC24-D02CAR-2_Saturday
611-13186,DEC24-D02CAR-2_Saturday,60611000272100-DEC24,,1,6110502,6110027_DEC24,60841233-DEC24-D02CAR-2_Saturday
611-13186,DEC24-D02CAR-2_Saturday,60611000220540-DEC24,,0,6110101,6110022_DEC24,60841234-DEC24-D02CAR-2_Saturday
611-13186,DEC24-D02CAR-2_Saturday,60611000220635-DEC24,,0,6110301,6110022_DEC24,60841235-DEC24-D02CAR-2_Saturday
611-13186,DEC24-D02CAR-2_Saturday,60611000220734-DEC24,,0,6110201,6110022_DEC24,60841236-DEC24-D02CAR-2_Saturday
611-13186,DEC24-D02CAR-2_Saturday,60611000220836-DEC24,,0,6110101,6110022_DEC24,60841237-DEC24-D02CAR-2_Saturday
611-13186,DEC24-D02CAR-2_Saturday,60611000220935-DEC24,,0,6110301,6110022_DEC24,60841238-DEC24-D02CAR-2_Saturday
611-13186,DEC24-D02CAR-2_Saturday,60611000221034-DEC24,,0,6110201,6110022_DEC24,60841239-DEC24-D02CAR-2_Saturday
611-13186,DEC24-D02CAR-2_Saturday,60611000221133-DEC24,,0,6110101,6110022_DEC24,60841240-DEC24-D02CAR-2_Saturday
