Channel,Video_ID,Negative,Neutral,Positive
Dave2D,1OHZTFseggA,0.135921821,0.584027052,0.280051172
Dave2D,1OHZTFseggA,0.039197426,0.501805305,0.45899719
Dave2D,1OHZTFseggA,0.038771857,0.603875101,0.357353091
Dave2D,1OHZTFseggA,0.064948842,0.541484833,0.39356634
Dave2D,1OHZTFseggA,0.01239179,0.186481252,0.801127017
Dave2D,1OHZTFseggA,0.005982297,0.091407977,0.902609706
Dave2D,1OHZTFseggA,0.058442704,0.422521144,0.519036114
Dave2D,1OHZTFseggA,0.009670166,0.427212089,0.563117683
Dave2D,1OHZTFseggA,0.016945777,0.128145754,0.854908466
Dave2D,1OHZTFseggA,0.005152511,0.062955305,0.931892157
Dave2D,1OHZTFseggA,0.177941844,0.73452574,0.087532453
Dave2D,1OHZTFseggA,0.378944159,0.476613909,0.144441873
Dave2D,1OHZTFseggA,0.34865725,0.548390865,0.102951929
Dave2D,1OHZTFseggA,0.353697836,0.550055563,0.0962466
Dave2D,1OHZTFseggA,0.077212751,0.710527837,0.212259501
Dave2D,1OHZTFseggA,0.01127552,0.15270865,0.836015821
Dave2D,1OHZTFseggA,0.042740032,0.249551639,0.707708299
Dave2D,1OHZTFseggA,0.004844726,0.103699356,0.891455889
Dave2D,1OHZTFseggA,0.097360753,0.520817816,0.381821454
Dave2D,1OHZTFseggA,0.039208006,0.262962282,0.697829723
Dave2D,1OHZTFseggA,0.076354556,0.424165666,0.499479771
Dave2D,1OHZTFseggA,0.163795844,0.551070392,0.285133839
Dave2D,1OHZTFseggA,0.025757903,0.135358661,0.83888346
Dave2D,1rJa-0YOkwk,0.001321661,0.03177169,0.966906726
Dave2D,1rJa-0YOkwk,0.004178048,0.054559939,0.941262007
Dave2D,1rJa-0YOkwk,0.799928188,0.176522151,0.023549646
Dave2D,1rJa-0YOkwk,0.030408941,0.179215774,0.790375292
Dave2D,1rJa-0YOkwk,0.625690699,0.291587025,0.082722344
Dave2D,1rJa-0YOkwk,0.038877081,0.341692269,0.619430661
Dave2D,1rJa-0YOkwk,0.02953182,0.56446743,0.406000793
Dave2D,1rJa-0YOkwk,0.072513625,0.412116796,0.515369594
Dave2D,1rJa-0YOkwk,0.591862917,0.343729615,0.064407468
Dave2D,1rJa-0YOkwk,0.423268288,0.501150072,0.07558164
Dave2D,1rJa-0YOkwk,0.160557434,0.438957155,0.400485456
Dave2D,1rJa-0YOkwk,0.396725923,0.500085652,0.10318841
Dave2D,1rJa-0YOkwk,0.002533265,0.015857916,0.981608808
Dave2D,2uvFqjsbemY,0.001937065,0.031743668,0.966319263
Dave2D,2uvFqjsbemY,0.004168523,0.122120678,0.873710871
Dave2D,2uvFqjsbemY,0.041221566,0.240409344,0.718369126
Dave2D,2uvFqjsbemY,0.007054026,0.300001502,0.692944467
Dave2D,2uvFqjsbemY,0.004002588,0.148342267,0.847655118
Dave2D,2uvFqjsbemY,0.034851767,0.283539742,0.681608558
Dave2D,2uvFqjsbemY,0.007641116,0.077742018,0.914616883
Dave2D,2uvFqjsbemY,0.129388049,0.426647902,0.443964034
Dave2D,2uvFqjsbemY,0.011860091,0.108245723,0.879894137
Dave2D,2uvFqjsbemY,0.027543671,0.462768763,0.509687543
Dave2D,2uvFqjsbemY,0.003379744,0.038748875,0.957871318
Dave2D,2uvFqjsbemY,0.011191599,0.097979166,0.890829265
Dave2D,2uvFqjsbemY,0.131303787,0.724460125,0.144236088
Dave2D,2uvFqjsbemY,0.007360886,0.097911313,0.894727767
Dave2D,2uvFqjsbemY,0.002261888,0.028439766,0.969298303
Dave2D,2uvFqjsbemY,0.004722431,0.047735278,0.94754231
Dave2D,2uvFqjsbemY,0.060683534,0.526936412,0.41238001
Dave2D,67hVZOJDFxQ,0.216807544,0.436428457,0.346763968
Dave2D,67hVZOJDFxQ,0.063751951,0.695486128,0.240761951
Dave2D,67hVZOJDFxQ,0.009047823,0.27193889,0.719013274
Dave2D,67hVZOJDFxQ,0.010683662,0.361137539,0.628178775
Dave2D,67hVZOJDFxQ,0.033673201,0.727899015,0.238427803
Dave2D,67hVZOJDFxQ,0.338074863,0.555995524,0.105929635
Dave2D,67hVZOJDFxQ,0.003343206,0.019008415,0.977648318
Dave2D,67hVZOJDFxQ,0.028475821,0.164522231,0.807001948
